Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
34	17.823168	1.7277503	20.842705	14.083508	76.13333	49.410347	213.0	0.0	1000.0	70279.0	0.06693238095238095	1.8133256	0.3636641	2.5967627	0.69049376	7.6649604	5.291459	37.283077	-3.586462	2.9802323e-09	0.0027178049	2.3841858e-08	0.0031794577	0.06569277	-0.012440619	73.81284	-28.444904	0	0	1.0	1.621048	0.011661813	1050000	665.8327803611755
35	18.538054	2.386258	23.299433	12.820783	77.46667	46.94943	168.0	0.0	1000.0	72603.0	0.067225	1.8437542	0.32406268	2.563274	0.80220914	7.6942153	5.3534036	40.564133	-3.79082	-5.9604646e-09	-0.00091200025	4.0233136e-08	-0.0007877067	0.10482377	-0.02075336	53.751423	-20.049236	0	0	1.0	1.6207765	0.0036508893	1080000	684.0974247455597
36	18.998617	1.8809595	22.435772	16.04959	60.3	50.77017	158.0	0.0	1000.0	74412.0	0.06703783783783784	1.8854975	0.35510984	2.5810454	0.8555383	7.591609	5.3687477	36.962128	-4.3865366	1.4156103e-08	-0.0013755545	-4.172325e-08	-0.0017612517	0.07668944	-0.010407581	48.86673	-19.802126	0	0	1.0	1.6204506	0.0033821978	1110000	702.1159157752991
37	19.030737	1.6667757	23.593689	16.480154	59.533333	48.85334	207.0	0.0	1000.0	76198.0	0.06684035087719298	1.9423507	0.32769623	2.764705	0.89395726	6.049748	4.465833	31.903011	-3.8134575	7.450581e-09	-0.000713671	2.682209e-08	0.0019685416	0.07937873	-0.008367855	42.024834	-13.89368	0	0	1.0	1.6199948	0.0034929477	1140000	720.1506288051605
38	19.576672	2.03028	24.08964	15.716141	57.733334	49.21648	220.0	0.0	1000.0	77930.0	0.06660683760683761	1.9501978	0.33566484	2.6919084	0.9109931	5.9579525	4.841451	33.731773	-4.1247373	5.9604646e-09	-0.0004503567	-8.34465e-08	0.0004734423	0.07166848	-0.009930437	40.299156	-15.352722	0	0	1.0	1.6192901	0.003219497	1170000	738.1688494682312
39	19.721989	1.5753815	24.360432	16.624477	70.63333	47.30362	173.0	0.0	1000.0	80049.0	0.0667075	1.9820776	0.33710796	2.702977	0.9213482	6.7281904	5.531375	37.317158	-5.4939485	-5.2154063e-09	-0.00053881406	3.576279e-08	0.0017437205	0.06893536	-0.01257433	50.57136	-19.37624	0	0	1.0	1.6184574	0.0018277299	1200000	756.2844951152802
40	19.463814	1.5856532	24.081854	16.487823	72.23333	48.920124	182.0	0.0	1000.0	82216.0	0.06684227642276423	1.9749906	0.32350114	2.6380632	0.90379727	7.656912	5.568075	35.73752	-4.7256293	-8.940697e-09	-0.00077190844	-3.576279e-08	0.0026452155	0.063997805	-0.0068435483	47.76179	-18.696878	0	0	1.0	1.6177791	0.0012137688	1230000	774.5284156799316
41	19.41031	1.668651	24.374578	16.417553	77.9	50.925007	200.0	0.0	1000.0	84553.0	0.06710555555555556	1.9856182	0.32187197	2.6453564	0.8925874	7.311688	5.57988	40.663643	-3.5034692	8.940697e-09	-0.00039055813	1.1920929e-07	0.0007993132	0.066630505	-0.008725158	47.528137	-17.655865	0	0	1.0	1.6171471	0.0004055282	1260000	792.4550275802612
42	19.61018	1.5515215	22.341623	15.7908125	68.4	46.47623	157.0	0.0	1000.0	86605.0	0.06713565891472868	1.9907664	0.31894	2.7319112	0.93213755	8.170016	5.99206	40.67141	-5.5515914	-2.9802323e-09	-0.0005540073	-4.172325e-08	0.00048585684	0.06615444	-0.009693723	40.58247	-15.431613	0	0	1.0	1.6165031	0.00054900313	1290000	810.508552312851
43	19.485416	1.4794823	22.323662	15.867027	75.6	50.7593	221.0	0.0	1000.0	88873.0	0.0673280303030303	1.9802898	0.32937917	2.7062309	0.8922497	7.4610677	5.580338	38.410362	-5.364413	7.4505807e-10	-0.0011153537	1.7881394e-08	-0.0009174306	0.065969594	-0.007935569	44.70322	-17.850628	0	0	1.0	1.6156542	0.0006310184	1320000	828.5965666770935
