Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
24	15.108782	3.6894958	20.339872	1.8572856	215.96666	65.81817	354.0	100.0	1000.0	176884.0	0.23584533333333332	1.5990554	0.54342085	2.6079564	-0.46165818	22.9169	10.600046	67.03913	0.6718362	9.155274e-09	-0.00795349	-2.8483074e-08	-0.008649927	0.19729365	-0.05012895	122.886314	-33.474495	0	0	2.4495275	0.0	1.4170802	0.009549766	750000	2681.856153488159
25	16.235249	3.3589437	22.24171	7.4229465	212.9	77.65451	368.0	65.0	1000.0	183271.0	0.23496282051282052	1.6047832	0.55101	2.5884087	-0.5891128	21.860119	10.705329	67.1001	0.69529456	-8.138021e-09	-0.008820386	-6.9173176e-08	-0.0019258301	0.20934583	-0.046309993	125.281	-36.410583	0	0	2.2849154	0.0	1.3927517	0.009642775	780000	2788.8388578891754
26	15.483903	2.9398167	19.35259	6.3815775	260.93332	55.839016	354.0	118.0	1000.0	191099.0	0.23592469135802469	1.6543235	0.5770745	2.6896992	-0.4321359	23.38312	11.904667	74.99672	1.1622386	-1.6276042e-08	-0.007757429	6.510417e-08	-0.011602978	0.20602177	-0.04845521	145.64569	-48.971825	0	0	2.5837753	0.0	1.3674572	0.009494598	810000	2896.4964237213135
27	16.090221	2.6656857	21.815536	10.879788	223.13333	71.288025	408.0	86.0	1000.0	197793.0	0.23546785714285715	1.6024482	0.5799598	2.5579314	-0.5168411	24.528378	12.462409	71.87332	-3.2161238	-5.086263e-09	-0.008787477	1.3834635e-07	-0.0029884358	0.18616845	-0.03600341	129.13667	-35.32849	0	0	2.4986353	0.0	1.3614945	0.009589856	840000	3003.508013486862
28	16.46647	3.042287	21.118984	9.452543	228.53334	67.20354	384.0	105.0	1000.0	204649.0	0.2352287356321839	1.6949148	0.5424243	2.4890835	-0.4881834	23.671362	11.427437	72.26803	-0.19859011	7.1207684e-09	-0.00853393	-1.6276042e-08	-0.0029805014	0.19321911	-0.03917636	125.3114	-40.416298	0	0	2.3402436	0.0	1.3492764	0.009562304	870000	3110.9473123550415
29	17.111532	2.6742172	21.9207	12.537599	215.86667	62.171127	359.0	97.0	1000.0	211125.0	0.23458333333333334	1.7501562	0.52803695	2.6810865	-0.5791871	22.995739	9.9179125	65.107216	2.047864	1.0172526e-09	-0.008800147	-2.2379558e-08	-0.0053753816	0.16867341	-0.03820169	126.594955	-43.163322	0	0	2.3576925	0.0	1.3099238	0.009568906	900000	3217.8266940116882
30	16.216814	4.691096	23.223804	-1.0915216	226.06667	75.10878	403.0	95.0	1000.0	217907.0	0.23430860215053764	1.749649	0.5492021	2.6023896	-0.32742366	23.461664	10.808209	66.01546	2.2910016	4.0690105e-09	-0.0087220175	-8.138021e-09	-0.0022861003	0.2310135	-0.06754826	131.52069	-43.014275	0	0	2.2428381	0.0	1.3006473	0.009820445	930000	3325.2183825969696
31	16.207237	3.1144876	22.574266	9.44136	224.23334	79.32115	357.0	86.0	1000.0	224634.0	0.23399375	1.7303576	0.6285588	2.9860706	-1.2033005	22.626396	11.210339	66.70618	1.5822363	7.629395e-09	-0.008069803	1.6276042e-08	-0.007843619	0.18633717	-0.042698815	123.89448	-41.79431	0	0	2.4114432	0.0	1.2741077	0.009412193	960000	3432.870988845825
32	16.098751	3.0587084	20.917963	6.659772	214.0	69.987144	357.0	69.0	1000.0	231054.0	0.23338787878787878	1.7139238	0.5734768	2.5886984	-0.6552628	23.251791	11.927914	74.477394	-2.362229	2.0345052e-09	-0.0072411112	7.93457e-08	-0.00019672648	0.18156065	-0.034525424	109.29223	-34.207977	0	0	2.7148247	0.0	1.2649602	0.00985484	990000	3539.8279871940613
33	16.869265	4.081139	24.106817	3.577192	236.83333	80.72384	384.0	85.0	1000.0	238159.0	0.2334892156862745	1.7384417	0.5685943	2.8142788	-0.8267995	23.196081	11.105703	73.87086	-0.0075639337	-8.138021e-09	-0.007328463	1.3020833e-07	-6.534831e-05	0.22975169	-0.05121824	129.37885	-43.3442	0	0	2.6766052	0.0	1.2280345	0.009937911	1020000	3647.1783051490784
