Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
24	-1.1718768	1.4716631	3.5160856	-4.2402596	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.027271993	0.28155544	1.0575017	-1.0613761	-6.768285e-05	0.015607476	0.10634638	-0.1115386	2.2379558e-08	-0.0451218	3.973643e-11	-1.4843492e-05	0.12662391	-0.1026772	0.00025532354	-3.951171e-05	0	0	0.44870993	0.0	11.051334	0.008912261	1500000	4216.022032737732
25	-0.83126634	1.4425973	2.626911	-3.5004218	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.016206004	0.29974613	0.96143705	-0.94902396	-0.00029336856	0.014768004	0.11499969	-0.120977566	-1.2207031e-08	-0.04391542	-7.947286e-11	1.7512926e-05	0.1324678	-0.10935494	0.0002321441	-3.7434103e-05	0	0	0.4583517	0.0	11.044516	0.008897021	1560000	4384.835168600082
26	-0.74522007	1.6773735	3.6141908	-4.679655	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.15580726	0.29031935	0.880953	-1.2732648	0.0002782346	0.014051882	0.1488427	-0.11612653	-1.2207031e-08	-0.045185763	-5.165736e-11	3.0224442e-06	0.14028974	-0.116663635	0.00020497192	-3.2818134e-05	0	0	0.45456725	0.0	11.045448	0.008905216	1620000	4553.7679789066315
27	-0.9760583	1.3382264	2.2211242	-4.588759	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.07317711	0.24984366	0.74581945	-0.8603848	0.00049088633	0.013790155	0.11338219	-0.11382002	-1.2207031e-08	-0.044868	-3.973643e-11	1.1414926e-06	0.094893	-0.073994905	0.00020309653	-3.0888637e-05	0	0	0.4520042	0.0	11.051625	0.0089449	1680000	4724.799116611481
28	-0.62993413	1.4809932	3.7499068	-3.3184962	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.087491676	0.27842984	0.65137726	-0.9655922	-0.0003569053	0.013361657	0.10770498	-0.099236876	-4.0690105e-09	-0.04577624	1.2814999e-10	-7.5401645e-06	0.15007088	-0.12374913	0.00018614263	-2.7334318e-05	0	0	0.45371476	0.0	11.059611	0.008923879	1740000	4904.644814729691
29	-0.45183975	1.9810896	3.8192108	-6.403633	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.06684938	0.20750469	0.7158903	-0.71166426	0.0006627686	0.01344337	0.08677978	-0.1064109	-9.155274e-09	-0.045433383	-3.059705e-10	-7.365664e-07	0.11524923	-0.09274351	0.00019542317	-2.948838e-05	0	0	0.45145622	0.0	11.057125	0.008873832	1800000	5084.028099298477
30	-0.56213	1.6140853	3.6229982	-3.994768	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.005046835	0.24219921	0.75106084	-0.88280684	-0.00069094304	0.012500228	0.09460567	-0.08230736	-1.6276042e-08	-0.044632178	-8.443991e-11	-5.1332304e-06	0.12529226	-0.10288198	0.00016769228	-2.6319918e-05	0	0	0.45707944	0.0	11.057512	0.008937162	1860000	5272.1844165325165
31	-1.0914792	1.5162318	1.7970529	-4.1489234	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.043214962	0.25765133	0.90386957	-1.0534254	-0.00016647854	0.011717195	0.08536402	-0.09503039	-6.1035155e-09	-0.044791516	1.9868215e-11	2.2316954e-06	0.12547025	-0.10259019	0.00014417531	-2.1104774e-05	0	0	0.45320854	0.0	11.056535	0.0089644175	1920000	5456.605106592178
32	-0.6865914	1.5865667	3.1409352	-4.5699296	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.050444253	0.28632602	0.9337368	-1.1527773	-0.00011473555	0.011439846	0.100372426	-0.10784454	-8.138021e-09	-0.045661796	-9.934108e-11	6.882419e-07	0.13150753	-0.1098786	0.00013741909	-1.8820152e-05	0	0	0.45183715	0.0	11.059926	0.008904752	1980000	5647.060346841812
33	-0.83924687	1.4868565	3.6235106	-4.2764664	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.026118292	0.231596	0.7115492	-0.87710726	-0.000107506785	0.010917377	0.10903607	-0.09575363	-1.2207031e-08	-0.044756208	-1.6490619e-10	-2.4777448e-05	0.1058779	-0.08567124	0.00012425275	0.00018773196	0	0	0.45415688	0.0	11.060463	0.008939688	2040000	5864.4360773563385
34	-1.0081133	1.8388635	4.7508583	-5.1238594	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.061789438	0.2857716	0.92553866	-0.85324264	-0.0033568142	0.018055646	0.12767161	-0.11172995	-8.138021e-09	-0.045222584	-1.9073486e-10	-4.0646577e-05	0.1284505	-0.10642239	0.000338501	-0.00021210013	0	0	0.4467482	0.0	11.071413	0.008952195	2100000	6075.51561498642
35	-0.66592014	1.7805629	4.633778	-5.129063	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.06866861	0.27580494	0.86802906	-0.8798814	-0.00013706833	0.0104477545	0.10054993	-0.08211541	1.6276042e-08	-0.044605028	2.1855037e-11	-5.6685108e-06	0.14290276	-0.11923377	0.000120154	-1.711637e-05	0	0	0.45995173	0.0	11.0693655	0.008949757	2160000	6294.091851234436
36	-0.93732285	1.6023983	3.3926945	-3.5057886	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.07589899	0.27352604	0.75125796	-0.9494389	0.00044458988	0.010021384	0.102425665	-0.09150188	4.0690105e-09	-0.043381304	1.09275184e-11	9.705653e-06	0.122246824	-0.10089895	0.000106711435	-1.5661986e-05	0	0	0.46414942	0.0	11.061674	0.008963948	2220000	6528.931886911392
37	-0.80665594	1.6140733	3.5948684	-4.234057	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.046626844	0.27538514	0.9652665	-0.9179441	2.613123e-05	0.010353821	0.08606015	-0.07783684	-9.155274e-09	-0.04535303	1.2318294e-10	-2.840075e-06	0.1230109	-0.1048031	0.00011280688	-1.3677571e-05	0	0	0.44558293	0.0	11.067352	0.008937348	2280000	6764.7701587677
38	-0.7775379	1.5407705	3.397384	-4.450559	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.121097386	0.24130054	0.97055155	-1.0293272	-0.00022957557	0.010197737	0.0899529	-0.07654458	-3.2552084e-08	-0.04453876	-5.7617824e-11	1.0030587e-05	0.1149735	-0.0952317	0.00010781019	-1.9060833e-05	0	0	0.4594807	0.0	11.0694685	0.008927553	2340000	6993.039276123047
